2025-10-20 09:53:36|INFO    |root                            |Scheduler will use this timezone: America/Sao_Paulo|
2025-10-20 09:53:57|INFO    |root                            |Interactive jobs queue started and waiting for tasks|
2025-10-20 09:53:57|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2025-10-20 09:53:57|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2025-10-20 09:53:57|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-10-20 09:53:57|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-10-20 09:53:57|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-10-20 09:53:58|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-10-20 10:39:59|ERROR   |root                            |BAZARR SignalR client for Radarr connection as been lost. Trying to reconnect...|
2025-10-20 10:39:59|ERROR   |root                            |BAZARR SignalR client for Sonarr connection as been lost. Trying to reconnect...|
2025-10-20 11:03:39|INFO    |root                            |Scheduler will use this timezone: America/Sao_Paulo|
2025-10-20 11:04:03|INFO    |root                            |Interactive jobs queue started and waiting for tasks|
2025-10-20 11:04:03|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2025-10-20 11:04:03|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2025-10-20 11:04:03|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-10-20 11:04:03|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-10-20 11:04:04|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-10-20 11:04:04|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
